主叫,被叫,通话时间,通话时长,通话类型
13988888917,13088888411,1420728911,1662,本地
13988888917,13788888440,1466444428,2275,本地
13988888917,15088888386,1472842256,3462,本地
13988888917,13488888722,1404863622,2707,本地
13988888917,13588888875,1449591345,301,本地
13988888917,13288888242,1447082800,2638,本地
13988888917,15288888255,1440109471,1893,本地
13988888917,15988888258,1481855168,2078,本地
13988888917,15288888255,1442302624,694,本地
13988888917,15088888538,1468272797,1942,本地
13988888917,13288888679,1422200409,2303,本地
13988888917,13888888884,1456100829,2629,本地
13988888917,13188888393,1416081187,3093,本地
13988888917,13988888233,1431742744,1960,本地
13988888917,13688888591,1431210036,3163,本地
13988888917,15088888766,1462996416,1326,本地
13988888917,13788888440,1490439057,1994,本地
13988888917,15388888816,1486378760,3211,本地
13988888917,13988888480,1407757452,28,本地
13988888917,15288888977,1489706220,3446,本地
13988888917,13588888324,1486039985,2068,本地
13988888917,13988888214,1443999948,981,本地
13988888917,15588888490,1474239419,2832,本地
13988888917,13288888527,1486802852,1955,本地
13988888917,15888888485,1406580659,3090,本地
13988888917,13988888366,1415133392,1899,本地
13988888917,13588888571,1442234131,1498,本地
13988888917,15188888121,1459161731,858,本地
13988888917,15088888886,1494513906,2473,本地
13988888917,15988888695,1474496276,387,本地
13988888917,15788888940,1492680170,720,本地
13988888917,13388888492,1408250344,723,本地
13988888917,13488888532,1448494979,271,本地
13988888917,13288888945,1452508628,2425,本地
15588888414,15388888818,1431290557,1958,本地
15588888414,13188888583,1427183180,3183,本地
15588888414,15188888845,1431052289,1790,本地
15588888414,15988888961,1459181385,1837,本地
15588888414,13088888582,1405926264,3270,本地
15588888414,13488888171,1405429749,3459,本地
15588888414,13888888973,1480155499,1624,本地
15588888414,15588888680,1491829926,116,本地
15588888414,15688888719,1439798559,2425,本地
15588888414,13588888818,1475085026,2833,本地
15588888414,13088888772,1474013564,2656,本地
15588888414,15888888466,1468896480,3496,本地
15588888414,13888888384,1459142517,79,本地
15588888414,13288888375,1402681664,1734,本地
15588888414,13288888204,1481862412,2420,本地
15588888414,15688888852,1480296861,1549,本地
15588888414,15188888900,1434911192,1211,本地
15588888414,13388888264,1432708080,575,本地
15588888414,15588888699,1427105123,449,本地
15588888414,13988888594,1458850667,2642,本地
15588888414,13688888895,1464155662,2386,本地
15588888414,13888888823,1425230040,3367,本地
15588888414,13388888549,1429443332,1698,本地
15588888414,13988888404,1493777423,1676,本地
15588888414,15188888311,1458627755,656,本地
15588888414,15988888277,1424414106,449,本地
15588888414,15088888557,1419946979,602,本地
15588888414,15788888889,1450225008,53,本地
15588888414,15888888789,1473826227,3358,本地
15588888414,13288888527,1485851037,1376,本地
15588888414,13788888554,1418741736,874,本地
15588888414,15988888868,1410635937,2148,本地
15588888414,15888888998,1464869531,1001,本地
15588888414,15888888371,1451439304,3190,本地
15588888414,15688888491,1488870545,1385,本地
13388888891,15088888728,1474536061,2800,本地
13388888891,15988888849,1414647792,2815,本地
13388888891,13288888852,1431727624,1423,本地
13388888891,13688888477,1476464752,2486,本地
13388888891,15688888814,1433211452,1879,本地
13388888891,13288888432,1485175821,1644,本地
13388888891,15688888966,1413113870,560,本地
13388888891,15888888618,1467277723,885,本地
13388888891,13088888202,1420594216,238,本地
13388888891,15588888832,1473870421,1536,本地
13388888891,15888888466,1487927085,1556,本地
13388888891,13988888881,1447549447,728,本地
13388888891,13988888727,1419588506,1796,本地
13388888891,15288888274,1460663889,3132,本地
13388888891,13788888592,1435259013,478,本地
13388888891,13888888118,1488253669,1078,本地
13388888891,15588888414,1435368177,1252,本地
13388888891,15288888103,1469048637,328,本地
13388888891,13788888269,1452544833,3008,本地
13388888891,13688888800,1422595431,820,本地
13388888891,15788888389,1419061063,991,本地
13388888891,13688888840,1475247231,1551,本地
13388888891,15688888358,1467384096,2637,本地
13388888891,15188888938,1483742355,1131,本地
13388888891,13388888682,1435606244,2949,本地
13388888891,13888888899,1434701115,1661,本地
13388888891,13788888117,1447213285,1003,本地
13388888891,13088888886,1448650473,3410,本地
13388888891,13888888517,1415218542,2297,本地
13388888891,15188888957,1489444168,1561,本地
13388888891,13288888774,1440610039,692,本地
13388888891,13288888964,1413156246,3236,本地
13388888891,13788888896,1489408434,3472,本地
13388888891,13288888679,1401306565,1125,本地
13388888891,15588888129,1466232365,2291,本地
13388888891,13788888516,1428029735,3398,本地
13388888891,13988888537,1480647604,1013,本地
13388888891,13388888929,1404637595,3281,本地
13388888891,13588888419,1443440265,2423,本地
13388888891,13688888857,1415250708,1656,本地
13388888891,13788888497,1403409768,1415,本地
13388888891,15088888825,1470060055,3335,本地
13388888891,15588888832,1409683636,1230,本地
13388888891,13388888606,1464373136,3203,本地
13388888891,15288888827,1489188526,1497,本地
13388888891,15688888491,1474216793,3166,本地
13388888891,13188888412,1440866953,3466,本地
13388888891,13088888164,1472618222,941,本地
13388888891,13988888499,1455652817,1317,本地
13388888891,13288888964,1424244707,1042,本地
13388888891,13588888267,1416291266,1893,本地
13388888891,13688888344,1482944269,457,本地
13388888891,15088888443,1468693708,1233,本地
13388888891,13088888601,1460900005,2072,本地
13388888891,13188888279,1467381895,787,本地
13388888891,15388888398,1474809519,2286,本地
13388888891,13788888841,1467524267,1889,本地
13388888891,13488888361,1438542251,1834,本地
13388888891,13488888760,1437174696,1801,本地
13388888891,13588888951,1464131520,2203,本地
13388888891,13088888620,1448901668,1621,本地
13388888891,13688888781,1437240544,771,本地
13388888891,15388888740,1404748732,1001,本地
13388888891,15288888597,1442050961,2918,本地
13388888891,15088888975,1420268451,1082,本地
13388888891,13488888133,1433458241,92,本地
13388888891,13788888839,1408451393,146,本地
13388888891,13988888157,1459761429,2748,本地
15988888163,15788888104,1438183383,2660,本地
15988888163,13988888898,1404325025,208,本地
15988888163,13488888855,1424817908,3134,本地
15988888163,13488888988,1485584837,1850,本地
15988888163,13588888343,1436040236,130,本地
15988888163,15788888826,1420284960,3554,本地
15988888163,13588888913,1466408306,2367,本地
15988888163,15388888875,1478538984,1207,本地
15988888163,15788888541,1441898836,329,本地
15988888163,13788888345,1401411888,1768,本地
15988888163,13588888324,1489053496,1223,本地
15988888163,15888888770,1418416394,2435,本地
15988888163,15288888901,1443456299,2545,本地
15988888163,15988888581,1491837907,2456,本地
15988888163,15888888808,1415381099,449,本地
15988888163,13988888518,1439149682,2011,本地
15988888163,13488888133,1407334218,1637,本地
15988888163,15588888680,1417652145,1998,本地
15988888163,15388888189,1406594147,3228,本地
15988888163,13188888697,1488308149,1705,本地
15988888163,13388888359,1433302415,2247,本地
15988888163,13388888910,1421091572,2469,本地
15988888163,13888888726,1461419460,769,本地
15988888163,13288888565,1411076172,3438,本地
15988888163,13988888537,1464378427,146,本地
15988888163,13088888924,1430428826,3041,本地
15988888163,13688888116,1473813648,2635,本地
15988888163,13488888570,1456235949,3385,本地
15988888163,15188888311,1466155735,3559,本地
15988888163,13288888128,1474419518,1246,本地
15988888163,13688888211,1442694393,1962,本地
15988888163,15188888883,1423402995,3164,本地
15988888163,15588888395,1439098456,3024,本地
15988888163,15388888360,1426196135,835,本地
15988888163,13988888670,1450363483,36,本地
15988888163,15388888873,1421769526,3021,本地
15988888163,13788888877,1485005487,329,本地
15988888163,15088888291,1493195032,2375,本地
15988888163,15988888868,1446030888,132,本地
15988888163,15588888870,1461729071,241,本地
15988888163,13188888870,1485797214,3303,本地
15988888163,13088888278,1492768339,250,本地
15988888163,13888888213,1454167394,3499,本地
15988888163,15388888875,1487320328,2559,本地
15988888163,13388888796,1409127023,1828,本地
15988888163,15188888577,1433670238,3484,本地
15988888163,15288888673,1480833353,1797,本地
15988888163,13388888644,1448732747,2625,本地
15988888163,15188888216,1459321185,2422,本地
15988888163,13088888126,1482655775,1741,本地
15988888163,13988888765,1410784766,668,本地
15988888163,13288888470,1494735382,482,本地
15988888163,13888888612,1468077411,2112,本地
15988888163,13088888335,1435755692,3428,本地
15988888163,13888888517,1410344219,2290,本地
15988888163,15688888852,1421900507,368,本地
15988888163,13988888708,1451551571,2265,本地
13188888222,13788888345,1442879805,1368,本地
13188888222,15388888837,1435932472,2376,本地
13188888222,13988888461,1434763846,2366,本地
13188888222,15788888294,1454220416,1648,本地
13188888222,15988888467,1437491013,3215,本地
13188888222,15288888730,1485831087,3240,本地
13188888222,15088888405,1473485266,795,本地
13188888222,13888888992,1416267289,2047,本地
13188888222,15688888282,1465230665,1647,本地
13188888222,13488888855,1443746064,3464,本地
13188888222,13788888953,1412630978,1832,本地
13188888222,15888888428,1493626122,2248,本地
13188888222,13888888251,1401905855,2553,本地
13188888222,13588888172,1418599345,934,本地
13188888222,15888888276,1423831692,286,本地
13188888222,15588888832,1428406752,2937,本地
13188888222,15988888999,1400324937,369,本地
13188888222,13888888536,1421679639,2344,本地
13188888222,13588888647,1475488874,2231,本地
13188888222,13388888986,1432709584,3048,本地
13188888222,13688888667,1441432599,2268,本地
13188888222,13488888874,1422969331,2062,本地
13188888222,13588888362,1439832572,1186,本地
13188888222,15288888426,1487248494,2981,本地
13188888222,13888888764,1451257298,1901,本地
13188888222,15688888206,1490812374,1054,本地
13188888222,15788888636,1409086095,2310,本地
13188888222,13588888172,1472504595,148,本地
13188888222,15288888888,1417772184,2926,本地
13188888222,13288888261,1442713374,2923,本地
13188888222,13288888890,1436852067,1398,本地
13188888222,13888888688,1478171314,528,本地
13188888222,13388888929,1470521888,3097,本地
13188888222,13688888515,1458392330,438,本地
13188888222,13188888716,1475407623,2285,本地
13188888222,15088888886,1456891736,2588,本地
13188888222,13288888223,1460702976,1463,本地
13188888222,15088888709,1413827085,2728,本地
13188888222,13588888438,1400720336,2747,本地
13188888222,13588888229,1414480152,609,本地
13188888222,15788888123,1457324341,2297,本地
13188888222,15188888178,1467955324,3380,本地
13188888222,15388888664,1470910821,2018,本地
13188888222,13688888819,1445723749,1481,本地
13188888222,15388888284,1473207733,1085,本地
13188888222,15188888539,1401453949,2475,本地
13188888222,13788888440,1486005067,1300,本地
13188888222,15188888387,1476943381,3252,本地
13188888222,13688888933,1422168816,3406,本地
13188888222,13088888563,1481990407,2562,本地
13188888222,15788888104,1471879820,1890,本地
13188888222,15588888927,1485744069,3107,本地
13188888222,15288888293,1463852919,2784,本地
13188888222,13888888308,1443807961,3595,本地
13188888222,15688888548,1419051220,2847,本地
13188888222,13088888658,1476496605,2816,本地
13188888222,15888888542,1469996902,2467,本地
13488888342,15188888482,1453188582,1007,本地
13488888342,15288888958,1460677504,2112,本地
13488888342,13288888793,1485185153,1800,本地
13488888342,15288888882,1449302076,1014,本地
13488888342,15088888329,1449683583,680,本地
13488888342,13688888840,1413816627,127,本地
13488888342,13988888860,1437752403,1649,本地
13488888342,13488888950,1435539528,579,本地
13488888342,13288888622,1475308170,1695,本地
13488888342,13488888342,1489973697,714,本地
13488888342,13788888820,1406001507,1607,本地
13488888342,13988888784,1465341340,1137,本地
13488888342,15288888827,1412763525,76,本地
13488888342,13588888799,1485121665,492,本地
13488888342,15388888607,1485083896,2133,本地
13488888342,15788888655,1453302603,2049,本地
13488888342,13488888399,1437330041,546,本地
13488888342,13788888459,1429363055,335,本地
13488888342,13088888164,1420457792,527,本地
13488888342,13888888346,1472891011,1914,本地
13488888342,13488888456,1483519143,1495,本地
13488888342,15188888121,1446775225,2975,本地
13488888342,15888888884,1441067439,2860,本地
13488888342,15188888900,1434640143,1525,本地
13488888342,15288888996,1443691592,128,本地
13488888342,13188888944,1444296050,3332,本地
13488888342,13488888361,1409960491,3055,本地
13488888342,15688888130,1413994986,1426,本地
13488888342,15188888748,1481983187,1743,本地
13488888342,15988888201,1459121441,674,本地
13488888342,13688888705,1473375895,3326,本地
13488888342,13488888247,1460022478,2036,本地
13488888342,15588888262,1402185046,60,本地
13488888342,13088888658,1439946981,1508,本地
13488888342,15988888904,1457088272,215,本地
13488888342,13988888138,1446431817,877,本地
13488888342,13288888451,1411991058,545,本地
13488888342,15888888219,1456573245,1006,本地
13488888342,13288888814,1449889132,1461,本地
13488888342,13488888133,1456746869,258,本地
13488888342,15188888672,1403120417,1566,本地
13488888342,13988888822,1419892423,3462,本地
13488888342,15388888170,1426731983,3351,本地
13488888342,13088888316,1441397716,185,本地
13488888342,15688888472,1432689408,3533,本地
13488888342,13888888745,1488553642,3118,本地
13488888342,13388888663,1487474177,2733,本地
13488888342,15588888699,1455554976,2436,本地
13488888342,13388888378,1464607270,2166,本地
13488888342,13388888796,1438947514,2032,本地
13488888342,13788888592,1410091364,283,本地
13488888342,13188888830,1418112049,2352,本地
13488888342,13688888363,1477035589,1909,本地
13488888342,13488888838,1477867125,2484,本地
13488888342,13088888867,1452808607,2791,本地
13488888342,15388888645,1477003612,3276,本地
13488888342,15188888862,1417370499,262,本地
13488888342,13388888836,1404798284,2118,本地
13488888342,15788888522,1442211497,787,本地
13488888342,15288888635,1473199265,3247,本地
13488888342,15788888465,1453569014,2394,本地
13488888342,13088888772,1447606859,2915,本地
13488888342,15988888638,1475199003,2889,本地
13488888342,15888888637,1427989698,1443,本地
13488888342,13588888685,1403801508,632,本地
13488888342,13588888704,1449249799,2966,本地
13488888342,13688888344,1441594248,862,本地
13488888342,13288888831,1416913922,938,本地
13488888342,13088888392,1462812597,1540,本地
13488888342,13988888651,1410981187,1876,本地
13488888342,13288888679,1428596839,2427,本地
13488888342,13088888734,1437549036,3170,本地
13488888342,13588888837,1403067071,1082,本地
13488888342,13088888430,1489821067,1336,本地
13488888342,15288888293,1468652133,413,本地
13488888342,15788888294,1483084575,1220,本地
13488888342,15388888360,1468403042,3131,本地
13488888342,13788888459,1452745214,1182,本地
13488888342,15688888263,1411866478,2733,本地
13488888342,13288888356,1440727820,1423,本地
13488888342,15188888178,1493480730,1566,本地
13188888830,13288888508,1489001352,752,本地
13188888830,13088888107,1434511046,3182,本地
13188888830,13688888876,1443819460,1500,本地
